,name,position,skill,pot,etv
178,Wataru Endo,"DM (CR), M (C)",71.1,71.1,16.6
179,Lewis Dunk,D (C),75.3,75.3,16.6
180,Jakub Kiwior,"D, DM (C)",65.0,71.1,16.6
181,Tino Livramento,"D, M, AM (R)",64.4,75.6,16.6
182,David Datro Fofana,F (CRL),62.7,73.6,16.5
183,José Sá,GK,73.7,73.7,16.5
184,Bart Verbruggen,GK,65.0,75.9,16.5
185,Tyrell Malacia,"D (RL), M (L)",73.6,80.0,16.2
186,Bernd Leno,GK,72.2,72.9,16.1
187,Takehiro Tomiyasu,D (CRL),73.2,76.7,16
188,Kalvin Phillips,DM (CRL),69.5,70.6,15.9
189,Ethan Pinnock,D (C),72.0,72.0,15.8
190,Emiliano Buendía,AM (CRL),74.1,74.8,15.8
191,Milos Kerkez,D (RL),67.0,84.0,15.7
192,Solly March,"AM (R), M (RL)",75.6,75.6,15.7
193,Thomas Partey,"DM (CR), M (C)",76.8,78.5,15.5
194,Dan Burn,D (CL),80.0,80.0,15.4
195,Yoane Wissa,"AM (L), F (RL)",72.0,74.2,15.3
196,Kieran Trippier,"D (RL), M (R)",75.6,78.1,15.2
197,Pape Matar Sarr,"M (C), DM (RL)",61.2,72.3,15.1
198,Scott McTominay,"DM (RL), M (C)",75.0,76.2,15.1
199,Nicolás Domínguez,"DM (CL), M (C)",72.1,77.3,15.1
200,Victor Lindelöf,D (C),74.3,74.4,14.8
201,Guglielmo Vicario,GK,73.5,74.3,14.7
202,Igor,D (CL),72.6,74.9,14.6
203,Rayan Aït-Nouri,"M, D, AM (L)",72.2,80.3,14.6
204,Nélson Semedo,"M (RL), D (R)",75.4,75.4,14.6
205,Ryan Sessegnon,M (RL),73.9,86.2,14.5
206,Alex Scott,"AM (C), DM (L), M (R)",61.5,77.4,14.5
207,Odysseas Vlachodimos,GK,67.8,69.0,14.5
208,Ryan Christie,"AM (RL), M (R)",73.1,73.1,14.5
209,Calvin Bassey,"D (CL), M (L)",65.3,70.6,14.4
210,João Gomes,"DM (RL), M (L)",59.4,73.4,14.4
211,Konstantinos Mavropanos,"D (CR), F (L)",66.9,70.6,14.2
212,Odsonne Edouard,"F (CL), AM (L)",71.4,75.2,14.2
213,Nicolò Zaniolo,"AM (CR), F (R)",66.9,72.0,14.1
214,Matheus França,"AM, F (C), M (R)",55.8,73.4,14
215,Wilson Odobert,AM (CR),57.2,76.8,13.9
216,Nayef Aguerd,D (C),70.3,73.6,13.7
217,James Trafford,GK,58.5,73.2,13.6
218,Gustavo Hamer,"DM (RL), M (C)",62.9,65.2,13.5
219,Christian Eriksen,"DM (L), M (C)",71.3,72.0,13.5
220,Lucas Digne,"D, M (L)",74.0,74.0,13.4
221,Romain Faivre,"AM (CR), M (R)",67.0,71.0,13.1
222,Issa Diop,D (C),71.4,72.8,13.1
223,Aaron Ramsey,AM (CL),63.2,75.5,13
224,Zeki Amdouni,"F (CL), AM (C)",56.2,64.3,13
225,Pascal Groß,"DM, D (R), M (C)",76.2,76.2,12.9
226,Jean-Ricner Bellegarde,"M, DM (C)",66.4,69.7,12.8
227,Emile Smith Rowe,"AM (CL), M (C)",71.3,77.2,12.7
228,Jacob Murphy,"AM (RL), M (R)",70.1,70.1,12.7
229,Kristoffer Ajer,D (CR),68.5,75.0,12.6
230,Yves Bissouma,DM (CRL),72.5,73.8,12.5
231,Julio Enciso,"F (RL), AM (L)",67.8,83.1,12.5
232,Sander Berge,"M (C), DM (RL)",66.2,70.7,12.4
233,Andreas Pereira,"AM, M (C), DM (L)",69.3,70.6,12.2
234,Clément Lenglet,D (CL),70.1,70.1,12.2
235,Jacob Brown,"AM (R), F (RL)",63.0,66.8,12.1
236,Maxwel Cornet,"M, AM (L), F (R)",68.3,69.2,12.1
237,Fábio Vieira,"AM, M (C)",64.8,71.3,12.1
238,Carlos Baleba,"DM (RL), AM (C)",61.7,74.5,12
239,Manor Solomon,"AM (RL), M (L)",65.1,69.8,11.9
240,Sofyan Amrabat,DM (CRL),70.7,71.9,11.8
241,Mark Flekken,GK,70.9,71.9,11.8
242,Philip Billing,"M, AM (C), DM (L)",68.6,70.3,11.7
243,Djordje Petrovic,GK,63.5,67.3,11.7
244,Marcos Senesi,D (C),68.9,70.5,11.5
245,Santiago Bueno,D (C),69.2,73.8,11.2
246,Enes Ünal,F (CRL),63.6,63.9,11.1
247,Harrison Reed,DM (CRL),72.3,72.3,11.1
248,Harry Maguire,D (C),73.2,73.2,11.1
249,Jefferson Lerma,"DM (RL), M (C)",69.6,70.2,11
